mq2,mq136,category
20.0,28.0,SEDANG
20.0,28.0,SEDANG
33.0,28.0,SEDANG
17.0,28.0,SEDANG
13.0,28.0,SEDANG
23.0,28.0,SEDANG
15.0,28.0,SEDANG
18.0,28.0,SEDANG
16.0,28.0,SEDANG
17.0,28.0,SEDANG
21.0,28.0,SEDANG
21.0,28.0,SEDANG
22.0,29.0,SEDANG
18.0,28.0,SEDANG
26.0,29.0,SEDANG
23.0,29.0,SEDANG
21.0,28.0,SEDANG
13.0,28.0,SEDANG
12.0,29.0,SEDANG
18.0,29.0,SEDANG
24.0,29.0,SEDANG
13.0,29.0,SEDANG
16.0,29.0,SEDANG
30.0,22.0,TIDAK SEHAT
35.0,23.0,TIDAK SEHAT
24.0,24.0,SEDANG
28.0,24.0,SEDANG
31.0,22.0,TIDAK SEHAT
22.0,24.0,SEDANG
20.0,24.0,SEDANG
18.0,25.0,SEDANG
15.0,27.0,SEDANG
25.0,24.0,SEDANG
17.0,24.0,SEDANG
14.0,22.0,SEDANG
23.0,24.0,SEDANG
15.0,22.0,SEDANG
20.0,23.0,SEDANG
17.0,25.0,SEDANG
18.0,23.0,SEDANG
21.0,23.0,SEDANG
18.0,25.0,SEDANG
25.0,27.0,SEDANG
20.0,23.0,SEDANG
26.0,24.0,SEDANG
21.0,16.0,SEDANG
23.0,12.0,SEDANG
10.0,55.0,SEDANG
6.0,54.0,SEDANG
8.0,54.0,SEDANG
9.0,54.0,SEDANG
5.0,54.0,SEDANG
6.0,55.0,SEDANG
4.0,54.0,SEDANG
6.0,55.0,SEDANG
30.0,55.0,SEDANG
10.0,54.0,SEDANG
3.0,54.0,SEDANG
5.0,54.0,SEDANG
4.0,54.0,SEDANG
10.0,54.0,SEDANG
6.0,54.0,SEDANG
30.0,14.0,SEDANG
22.0,17.0,SEDANG
20.0,17.0,SEDANG
19.0,14.0,SEDANG
19.0,13.0,BAIK
17.0,15.0,BAIK
17.0,14.0,BAIK
15.0,13.0,BAIK
17.0,17.0,BAIK
27.0,17.0,SEDANG
17.0,12.0,BAIK
13.0,11.0,BAIK
15.0,14.0,SEDANG
17.0,12.0,SEDANG
16.0,15.0,BAIK
13.0,13.0,BAIK
12.0,14.0,BAIK
11.0,16.0,BAIK
13.0,14.0,BAIK
17.0,13.0,BAIK
16.0,18.0,SEDANG
17.0,10.0,BAIK
31.0,15.0,SEDANG
15.0,13.0,SEDANG
16.0,13.0,SEDANG
21.0,13.0,SEDANG
22.0,13.0,SEDANG
22.0,19.0,SEDANG
19.0,16.0,SEDANG
14.0,51.0,SEDANG
34.0,27.0,BAIK
28.0,25.0,SEDANG
21.0,26.0,SEDANG
21.0,26.0,SEDANG
25.0,26.0,SEDANG
22.0,26.0,SEDANG
6.0,55.0,SEDANG
5.0,55.0,SEDANG
5.0,55.0,SEDANG
6.0,54.0,SEDANG
5.0,55.0,SEDANG
4.0,54.0,SEDANG
22.0,55.0,TIDAK SEHAT
5.0,55.0,SEDANG
5.0,56.0,SEDANG
8.0,58.0,SEDANG
4.0,56.0,SEDANG
8.0,55.0,SEDANG
11.0,56.0,SEDANG
11.0,59.0,SEDANG
